"Date of Airing (EST)","Topic List","Fact Check","TV Clip",Organization,Collection
2017-11-19,Taxes,http://www.politifact.com/truth-o-meter/statements/2017/nov/20/steve-mnuchin/steve-mnuchin-uses-partial-data-say-gop-tax-bill-t/,https://archive.org/details/FOXNEWSW_20171119_190000_Fox_News_Sunday_With_Chris_Wallace/start/1960/end/2013.5,PolitiFact,steve_mnuchin_archive
2017-11-16,"Taxes,Health Care",https://www.washingtonpost.com/news/fact-checker/wp/2017/11/16/schumers-claim-that-the-gop-is-kicking-13-million-people-off-of-health-insurance/,https://archive.org/details/CSPAN2_20171116_103800_U.S._Senate_11152017/start/106/end/121,"Washington Post",charles_schumer_archive
2017-11-14,"Health Care,Taxes",http://www.factcheck.org/2017/11/democrats-inaccurate-talking-point/,https://archive.org/details/CSPAN2_20171114_150000_U.S._Senate_11142017/start/1864/end/1877.5,FactCheck.org,charles_schumer_archive
2017-11-07,Guns,http://www.politifact.com/truth-o-meter/statements/2017/nov/07/donald-trump/trump-wrongly-repeats-chicago-has-strongest-gun-la/,https://archive.org/details/CSPAN2_20171107_175600_President_Trump_and_South_Korean_President_Joint_News_Conference/start/1450/end/1460,PolitiFact,trumparchive
2017-11-06,Taxes,https://www.washingtonpost.com/news/fact-checker/wp/2017/11/10/paul-ryans-repeated-claim-that-everyone-will-get-a-tax-cut/,https://archive.org/details/FOXNEWSW_20171107_030000_The_Ingraham_Angle/start/2277/end/2287,"Washington Post",paul_ryan_archive
2017-11-06,"Taxes,Children",https://www.washingtonpost.com/news/fact-checker/wp/2017/11/20/ivanka-trump-touts-gop-tax-cuts-that-with-data-borrowed-from-the-obama-administration/,https://archive.org/details/FOXNEWSW_20171107_010000_Tucker_Carlson_Tonight/start/3258/end/3268,"Washington Post",ivanka_trump_archive
2017-11-05,"Elections,Crime",http://www.politifact.com/truth-o-meter/article/2017/nov/03/donald-trump-said-donna-brazile-called-democratic-/,https://archive.org/details/WJLA_20171105_130000_Good_Morning_America_Weekend_Edition/start/430/end/440,PolitiFact,trumparchive
2017-11-02,"Families,Taxes",http://www.politifact.com/truth-o-meter/statements/2017/nov/03/paul-ryan/would-house-gop-tax-plan-save-typical-family-1182/,https://archive.org/details/CSPAN_20171102_175700_House_Republicans_on_Tax_Reform/start/126/end/136,PolitiFact,paul_ryan_archive
2017-11-01,"Legal Issues,Terrorism",https://www.washingtonpost.com/news/fact-checker/wp/2017/11/06/president-trumps-statement-that-the-speed-of-u-s-terror-cases-is-a-laughingstock/,https://archive.org/details/CSPAN3_20171101_204600_President_Trump_Holds_Cabinet_Meeting/start/299/end/336,"Washington Post",trumparchive
2017-11-01,"Immigration,Congress,Terrorism",http://www.politifact.com/truth-o-meter/article/2017/nov/01/what-connection-between-diversity-visa-lottery-ter/,https://archive.org/details/CSPAN3_20171101_204600_President_Trump_Holds_Cabinet_Meeting/start/110/end/132,PolitiFact,trumparchive
